OBJECTID,FID_,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_,wgs84,wgs84_X,wgs84_Y,RASTERVALU
1,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1895,578,Alcalá La Real,Europe,Spain,37.46,-3.92,2002,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Groundwater,no data,no data,"Diaz, J.M.M., de la Orden Gomez, J.A., Geta, J.A.L., Campos, J.C.R., Gonzalez-Ramon, A., Machuca, M.M., 2002. Lessons from groundwater recharge projects in Spain in: Dillon, P. (Ed.), International symposium on artificial recharge of groundwater; Managem",-3.92 37.46,37.46,-3.92,233.0533295
2,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1896,619,Arve,Europe,Switzerland,46.18,6.15,1980,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Management of Water Distribution Systems,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",6.15 46.18,46.18,6.15,606.5079956
3,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1897,39,Prince Albert,Africa,South Africa,-33.222633,22.029932,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,no data,Agricultural,no data,"<a href='http://www.dwa.gov.za/Documents/Other/Water%20Resources/ARStrategyforSAJun07SecD.pdf' target='_blank'>Murray, R., G. Tredoux, P. Ravenscroft, and F. Botha. 2007. Artificial Recharge Strategy - Version 1.3. Department of Water Affairs and Forestr",22.029932 -33.222633,-33.222633,22.029932,100.1393356
4,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1898,760,Caiçara,South America,Brasil,-9.07306,-40.23522,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://revistas.aba-agroecologia.org.br/index.php/rbagroecologia/article/view/7092/5217' target='_blank'>Oliveira, A. K. C. de, M. S. L. da Silva, C. C. E. S. E. S. Mendonça, G. B. Ferreira, V. C. Chaves, and D. J. Silva. 2007. Avaliação qual",-49.30828,0,0,101.4586639
5,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1899,1033,City of Pasadena,North America,USA,34.154787,-118.134041,1992,2014,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-118.134041 34.154787,0,0,60.72733307
6,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189a,691,New Brompton Estate,Oceania,Australia,-34.893601,138.576503,1991,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,Ecological Benefits,"Gerges, N. Z. 2000. Recycling of Surface Water in Adelaide and Northern Adelaide Plains. In Proceedings of “ABC’s of Groundwater”, South Australia, October 2000. South Australia. http://www.sapo.org.au/pub/pub461.html.",138.576503 -34.893601,0,0,
7,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189b,608,Bergsjön,Europe,Sweden,59.309,14.109,2009,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Bowen, H., 1986. Groundwater. Elsevier applied Science Publishers.",14.109 59.309,59.309,14.109,
8,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189c,3,El Bustan Extension Area,Africa,Egypt,30.38331,30.404489,1995,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Maximize Natural Storage,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt.",30.404489 30.38331,30.38331,30.404489,
9,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189d,1104,Upland Basin,North America,USA,34.097915,-117.694958,2004,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,no data,no data,"<a href='http://www.nwri-usa.org/pdfs/WildermuthPresentationfinal.pdf' target='_blank'>Wildermuth, M., W. Wang, K. Manning, and B. Pak. 2011. Optimization of Supplemental Water Recharge Location and Magnitude to Balance Recharge and Discharge in the Chin",-117.694958 34.097915,0,0,59.77133179
10,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_189e,925,North Bend Aquifer ASR,North America,USA,47.497748,-121.788579,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,"<a href='http://faculty.washington.edu/dersh/Files/Project2009/Aquifer_Presentation.pdf' target='_blank'>Arvan, H., M. Golubovskiy, and K. Wood. 2009. Aquifer Storage and Recovery in Washington. Presentation Washington, D.C. faculty.washington.edu/dersh/",-121.788579 47.497748,0,0,1097.702026
